,Prediction
2,-4.665633740832416
3,-6.148215348541978
4,-4.765133040341314
5,-5.391688458152592
6,-5.33581081218382
7,-6.445879474999297
8,-8.308167797390755
9,-5.546329717737811
10,-10.217657308366258
11,-6.706600663054518
12,-5.753283120046092
13,-5.548117986131314
14,-7.3647017932002
15,-5.932484827782553
16,-9.390559371412028
17,-7.690079758144266
18,-4.804688052067822
19,-6.480742118199325
20,-5.316221964062994
21,-4.868259085950927
22,-6.537083625162866
23,-6.918609286445518
24,-5.528011245148877
25,-9.706220451053643
26,-5.197744878425645
27,-6.348845610781233
28,-4.6106079347553095
29,-6.700838624038006
30,-5.190979923576827
31,-5.069600271308709
32,-6.31953909479014
33,-6.720068462451965
34,-6.555064650378057
35,-6.912578279579323
36,-5.207952719783126
37,-6.004325678033085
38,-8.346841350894138
39,-6.378453104070812
40,-4.796788551361743
41,-7.532067441523197
42,-6.971767618269936
43,-6.028377607440931
44,-8.1745871608671
45,-5.583661262840375
46,-5.743296927288732
47,-5.963398827274834
48,-6.183642498599287
49,-11.806040093480526
50,-5.247768800973915
51,-6.718006559812885
52,-5.662760251674109
53,-5.629192118501031
54,-7.421291629407212
55,-7.828815531292784
56,-4.96535625840393
57,-4.802824714656249
58,-7.142197703105979
59,-7.476738825301313
60,-7.499254177763642
61,-6.488716215562753
62,-4.934923600260053
63,-6.157245338848543
64,-6.760189101396419
65,-7.717298039610115
66,-12.228122983516498
67,-6.701655911307914
68,-6.115781631589021
69,-6.451748400872481
70,-4.937560617515704
71,-5.174623851836749
72,-8.710689060021918
73,-7.31850323266952
74,-5.955800414941913
75,-5.145305784407605
76,-4.599002898515546
77,-5.774939657516372
78,-5.429819961663304
79,-6.495863287684238
80,-6.302164960316764
81,-4.476575017011677
82,-5.811278933751845
83,-5.6475270139003895
84,-5.96153734009773
85,-5.647872492692999
86,-6.010158413245474
87,-5.513820990494815
88,-5.630338658902858
89,-5.323597815342683
90,-5.378500635824477
91,-5.644347313838706
92,-4.944556759113727
93,-6.202652887015398
94,-8.02029042407189
95,-6.069622502389186
96,-6.835372226034665
97,-8.328780103647365
98,-6.084932784428827
99,-5.776525506301331
100,-5.504780023055655
101,-6.657034042631119
102,-6.482488444641184
103,-6.070564407773606
104,-6.570578649494989
105,-5.175619138279327
106,-6.285873638606183
107,-5.976466137170354
108,-9.214399643956584
109,-7.079890517214677
110,-5.620731832297298
111,-6.256734154155478
112,-6.18734152696748
113,-6.004771133695819
114,-7.140996092403131
115,-7.511727755041802
116,-6.380137165722016
117,-5.730889752021823
118,-6.441218677736913
119,-5.798505432679255
120,-6.8326283701222
121,-6.761979803995562
122,-5.423826474288896
123,-5.287702124137931
124,-7.160764854829925
125,-8.742935488629191
126,-5.734421215110892
127,-6.723585173997963
128,-6.960510955486169
129,-5.588850044181175
130,-4.79852801889892
131,-6.799767313468941
132,-5.44421545976048
133,-5.265350467819754
134,-5.5288908436561215
135,-9.08564049792635
136,-5.270181843736208
137,-5.277495904920564
138,-6.117815602487436
139,-7.818165214085018
140,-5.713433292081811
141,-8.989051175425141
142,-5.528223604944757
143,-8.292692232281215
144,-4.803873071165432
145,-5.755215450012526
146,-5.2934536321896175
147,-7.747505437800615
